"Czas","IP","Akcja","Typ","Kraj","Miasto","ISP","Liczba_prob","Jail"
"2026-07-07 11:18","177.229.197.38","banned","Brute force SSH","Mexico","Tapachula","Mega Cable, S.A. de C.V.","5","sshd"
"2026-07-07 11:31","152.53.185.81","banned","Brute force SSH","Germany","Karlsruhe","netcup GmbH","7","sshd"
"2026-07-07 11:36","190.244.39.224","banned","Brute force SSH","Argentina","Córdoba","Telecom Argentina S.A","6","sshd"
"","202.152.201.166","unbanned","","","","","","sshd"
"","152.32.182.41","unbanned","","","","","","sshd"
"","101.36.107.233","unbanned","","","","","","sshd"
"","154.90.70.254","unbanned","","","","","","sshd"
"","92.118.39.50","unbanned","","","","","","sshd"
"2026-07-07 12:53","176.53.159.38","banned","Brute force SSH","Turkey","Mahmutbey","Hop Bilisim Teknolojileri Anonim Sirketi","5","sshd"
"2026-07-07 13:27","81.177.101.45","banned","Brute force SSH","Russia","St Petersburg","PJSC Rostelecom","16","sshd"
